0d1n 1:263.2d723ae-1
0trace 1.5-5
3proxy 0.9.4-1
3proxy-win32 0.8.13-1
42zip 1:42-3
a2sv 140.cb24c4e-1
abcd 4.2738809-2
abseil-cpp 20230125.1-2
abuse-ssl-bypass-waf 7.c28f98e-2
acccheck 0.2.1-5
ace 1.10-4
ack 3.6.0-2
acl 2.3.1-3
aclpwn 4.81480cc-5
acpi 1.7-3
activedirectoryenum 1:0.5.0-3
ad-ldap-enum 88.60bc5bb-2
adape-script 43.4d0b9ff-1
adenum 36.fbbe14d-1
adfind 31.9808cb7-1
adfspray 6.3d7745d-1
adidnsdump 24.65169b2-1
admid-pack 1:0.1-2
adminpagefinder 0.1-4
admsnmp 0.1-4
adns 1.6.0-1
adobe-source-code-pro-fonts 2.038ro+1.058it+1.018var-1
adobe-source-han-sans-otc-fonts 2.004-1
adwaita-cursors 43-2
adwaita-icon-theme 43-2
aesfix 1.0.1-5
aeskeyfind 1.0-5
aespipe 2.4f-1
aesshell 0.7-4
afflib 3.7.19-1
aflplusplus 4.05c.r161.g24503fba-1
afpfs-ng 0.8.2-3
agafi 1:1.1-3
against 1:0.2-3
aggroargs 51.c032446-1
aiengine 1:2.0.1-3
aimage 3.2.5-2
aiodnsbrute 38.e773a4c-4
air 2.0.0-6
aircrack-ng 1.7-2
airflood 0.1-7
airgeddon 1:v11.11.r0.g3d95621-1
airopy 5.b83f11d-3
airoscript 2:45.0a122ee-8
airpwn 1.4-3
airspy 1.0.10-1
ajpfuzzer 0.6-3
albatar 34.4e63f22-1
allthevhosts 1.0-6
alsa-lib 1.2.8-1
alsa-topology-conf 1.2.5.1-3
alsa-ucm-conf 1.2.8-1
alsa-utils 1.2.8-1
altdns 76.8c1de0f-3
amap 1:5.4-5
amass 2:2052.b8f8520c-1
amber 254.a331b34-3
amd-ucode 20230210.bf4115c-1
amoco 1:v2.4.1.r307.ged579ea-1
analyzemft 130.16d1282-1
analyzepesig 0.0.0.5-5
androbugs 1.7fd3a2c-2
androguard 2:2118.8d091cbb-3
androick 8.522cfb4-1
android-apktool 2.7.0-1
android-sdk 26.1.1-1
android-sdk-build-tools r30.0.3-2
android-sdk-platform-tools r33.0.0-1
android-udev-rules 1:471.b4d81e6-1
androidpincrack 2.ddaf307-2
androidsniffer 0.1-5
androwarn 135.626c02d-4
angr 1:9.1.11752-4
angr-management 9.1.11752-1
angr-py2 1:7.8.9.26-3
angrop 251.1391ca4-1
anontwi 1.1b-1
anti-xss 166.2725dc9-2
antiransom 5-1
antiword 0.37-9
aom 3.6.0-1
apache 2.4.56-1
apache-tika 1.28.1-1
apache-users 2.1-4
apachetomcatscanner 3.2-2
apacket 374.16e7036-1
aphopper 0.3-4
apkid 2:2.1.4-1
apkleaks v2.6.1.r5.g1fd6f3c-1
apkstat 18.81cdad3-2
apkstudio 100.9e114ca-4
apnbf 0.1-2
apparmor 3.1.3-1
appmon 177.f753c4d-1
apr 1.7.2-2
apr-util 1.6.3-1
apt2 183.8075cdc-1
aquatone 142.2daa022-1
arachni 1.6.1.3-2
aranea 6.469b9ee-3
arcane 2.750cb9f-2
arch-install-scripts 28-1
archivebox 903.59da482-3
archlinux-keyring 20230320-1
arduino 1:1.8.19-2
arduino-builder 1.6.1-2
arduino-ctags 5.8_arduino11-4
argon2 20190702-4
argus 3.0.8.2-5
argus-clients 3.0.8.2-2
arjun 214.70b5b28-1
armitage 4:150813-7
armor 5.bae27a6-1
armscgen 98.c51b7d6-4
arp-scan 1.10.0-2
arpack 3.9.0-1
arpalert 1:2.0.12-1
arpoison 0.7-1
arpon 2.7-2
arpstraw 27.ab40e13-5
arptools 13.41cdb23-1
arpwner 26.f300fdf-3
artillery 1:357.805a5d8-3
artlas 154.e5fdd8d-1
arybo 65.89d9a42-4
asleap 2.2-5
asnmap v1.0.2.r0.g4bfffc3-1
asp-audit 2BETA-5
aspell 0.60.8-3
aspell-en 2020.12.07-1
assetfinder 19.4e95d87-2
astra 487.57c1e41-1
at-spi2-core 2.48.0-1
atear 139.245ec8d-3
atftp 0.8.0-3
athena-ssl-scanner 0.6.2-5
atlas 7.77bd6c8-3
atscan 2454.b1b241e-2
atstaketools 0.1-5
attacksurfacemapper 45.0a2e408-1
attica 5.104.0-1
attk 2.0.1023-1
attr 2.5.1-3
audit 3.1-1
aurebeshjs 77.75a8fc6-1
auto-eap 18.ee36d37-1
auto-xor-decryptor 7.2eb176d-3
autoconf 2.71-4
autogen 5.18.16-5
automake 1.16.5-2
automato 33.0561b59-6
autonessus 24.7933022-2
autonse 25.7c87f4c-1
autopep8 1:2.0.1-1
autopsy 1:4.20.0-1
autopwn 190.fc80cef-6
autorecon 277.b4567a2-1
autosint 234.e1f4937-4
autosploit 281.9a6a5ef-1
autossh 1.4g-2
autovpn 18.28b1a87-4
avahi 0.8+22+gfd482a7-3
avaloniailspy 1:v7.2.rc.r1.ge6562c2-1
avet 133.2f1d882-1
avml 1:v0.6.1.r11.g155f084-1
awesome 4.3-3
aws-cli 1.27.89-1
aws-extender-cli 17.a351154-3
aws-inventory 19.9a2fa8e-1
awsbucketdump 82.4684670-1
azazel 15.a41fbb5-1
aztarna 1.2.1-3
b43-fwcutter 019-4
backcookie 51.6dabc38-3
backdoor-apk 141.2710126-1
backdoor-factory 1:208.9972ac6-2
backdoorme 308.f9755ca-3
backdoorppt 88.d0e7f91-4
backfuzz 1:1.b0648de-1
backhack 39.561ec86-1
backoori 55.988e507-3
backorifice 1.0-3
bactl 15.6062356-1
bad-pdf 61.a8149ee-1
badkarma 85.2c46334-5
badministration 16.69e4ec2-3
bagbak 160.b0633a4-1
balbuzard 67.d6349ef1bc55-1
bamf-framework 35.30d2b4b-3
bandicoot 0.6.0-4
barf 923.9547ef8-4
barmie 1.01-2
barq 35.6f1a68c-3
base 3-1
base-devel 1-1
base64dump 0.0.14-1
basedomainname 0.1-8
bash 5.1.016-3
bash-completion 2.11-3
bashfuscator 338.7487348-3
bashscan 94.80c066c-1
bat 0.23.0-3
batctl 2023.0-1
batman-adv 2019.2-1
batman-alfred 2022.0-1
bbqsql 261.b9859d2-3
bbscan 48.43c1088-1
bc 1.07.1-4
bcg729 1.1.1-1
bdfproxy 107.276c367-1
bdlogparser 2-3
bed 0.5-10
beebug 25.cddb375-3
beef 1:4156.30f8d869-1
beeswarm 1183.db51ea0-6
beholder 0.8.10-1
belati 72.49577a1-5
beleth 36.0963699-1
bettercap 2.32.0-2
bettercap-ui 1.3.0-1
bfac 53.18fb0b5-2
bfbtester 2.0.1-3
bfuzz 60.fdaefc0-1
bgp-md5crack 0.1-2
bgrep 24.28029c9-1
billcipher 32.97fba59-2
binaryninja-demo 3.3.3996-1
binaryninja-python 13.83f59f7-3
bind 9.18.13-1
bindead 4504.67019b97b-2
bindiff 6.0.0-1
binex 1.0-2
binflow 5.7fb02a9-1
bing-ip2hosts 1.0.5-1
bing-lfi-rfi 0.1-3
bingoo 3.698132f-1
binnavi 6.1.0-3
binproxy 8.d02fce9-11
binutils 2.40-4
binwalk 2.3.4-1
binwally 4.0aabd8b-2
bios_memimage 1.2-3
birp 65.b2e108a-4
bison 3.8.2-5
bitcoin-daemon 24.0.1-4
bitdump 34.6a5cbd8-2
bittwist 2.0-2
bkcrack v1.5.0.r3.g27a9f22-1
bkhive 1.1.1-1
blackarch-config-awesome 49.ea88207-1
blackarch-config-bash 11.b2b10c8-2
blackarch-config-fluxbox 41.a172928-1
blackarch-config-gtk 4.f9f6a21-3
blackarch-config-i3 202.01edbd9-1
blackarch-config-lxdm 20.b109457-1
blackarch-config-openbox 40.6914684-1
blackarch-config-spectrwm 8.ee5d156-2
blackarch-config-vim 1:3.620775f-1
blackarch-config-x11 21.e38cf84-1
blackarch-installer 1.2.24-1
blackarch-keyring 20140118-3
blackarch-menus 10.5244eea-3
blackarch-wallpaper 1:3.0-2
blackbox-scanner 4:1.7a25220-1
blackeye 1:v2.0.r0.g27a3f04-1
blackhash 0.2-8
blackmate 49.6e5f2d3-1
blacknurse 9.d2a2b23-1
bladerf 2021.10-2
blas 3.11.0-2
bleah 53.6a2fd3a-1
bless 0.6.3-1
bletchley 0.0.1-11
blind-sql-bitshifting 54.5bbc183-1
blindelephant 7-2
blindsql 1.0-3
blindy 12.59de8f2-4
blisqy 20.e9995fc-1
bloodhound 1521.ce95073-1
bloodhound-python v1.0.1.r104.g760e6ee-1
bloodyad 153.d17a6fc-2
blue-hydra 710.1c2372d-2
bluebox-ng 1:1.1.0-4
bluebugger 0.1-4
bluediving 0.9-7
bluefog 0.0.4-3
bluelog 1.1.2-1
bluepot 0.2-1
blueprint 0.1_3-7
blueranger 1.0-3
bluescan 1.0.6-3
bluesnarfer 0.1-5
bluez 5.66-1
bluez-hciconfig 5.65-1
bluez-hid2hci 5.66-1
bluez-libs 5.66-1
bluez-tools 0.2.0-5
bluez-utils 5.66-1
bluffy 47.180ed5b-1
bluphish 9.a7200bd-2
bluto 1:142.25cad7a-1
bmap-tools 3.6-1
bmc-tools 25.c66a657-1
bob-the-butcher 0.7.1-2
bof-detector 19.e08367d-2
bonesi 12.733c9e9-1
boofuzz v0.4.1.r27.g6340630-1
boopsuite 170.16c902f-1
boost 1.81.0-3
boost-libs 1.81.0-3
bopscrk 1:v2.4.5.r9.g5fdb5bb-1
botb 69.6d33aae-1
bowcaster 230.17d69c1-1
bower 1.8.14-1
box-js 509.bdca8ea-1
bqm v1.3.0.r3.g055f66f-1
braa 0.82-5
braces 0.4-1
brakeman 1:v5.4.1.r0.g0bc31d9fd-1
bridge-utils 1.7.1-1
bridgekeeper 57.55c390c-2
brltty 6.5-3
broadcom-wl 6.30.223.271-461
brosec 278.c51164f-1
brotli 1.0.9-10
brotli06 0.6.0-3
browselist 1.4-1
browser-fuzzer 3-3
brute-force 52.78d1d8e-3
brute12 1-5
bruteforce-luks 46.a18694a-1
bruteforce-salted-openssl 55.23e3a72-1
bruteforce-wallet 39.f6d8cc5-1
brutemap 65.da4b303-1
brutespray 203.f282627-1
brutessh 0.6-3
brutex 112.23f511c-1
brutexss 54.ba753df-1
brutus 2-6
bsdiff 4.3-13
bsqlbf 2.7-4
bsqlinjector 13.027184f-4
bss 0.8-5
bt_audit 0.1.1-4
btcrack 1.1-4
btlejack 87.d0dd2df-1
btproxy-mitm 71.cd1c906-3
btrfs-progs 6.2.2-1
btscanner 2.1-9
bubblewrap 0.8.0-1
bulk-extractor 1562.1c67a75-1
bully 1.1.12.g04185d7-2
bunny 0.93-6
burpsuite 1:2023.2.3-1
buster 92.131437e-6
buttinsky 138.1a2a1b2-9
bvi 1.4.1-1
byepass 213.8cbfd9b-2
bypass-firewall-dns-history 33.c55b7ce-1
bytecode-viewer 1:2.9.22-1
bzip2 1.0.8-5
c-ares 1.19.0-1
c5scan 30.be8845c-2
ca-certificates 20220905-1
ca-certificates-mozilla 3.89-1
ca-certificates-utils 20220905-1
cabextract 1.11-1
cachedump 1.1-4
cadaver 0.24-1
cafebabe 0.1.2-1
cairo 1.17.8-2
cairo-perl 1.109-2
cameradar 195.1b91e54-1
camover 73.abcded1-1
camscan 1.0057215-2
can-utils 946.cfe4196-1
canalyzat0r 41.6bc251e-3
canari 3.3.10-5
cangibrina 123.6de0165-1
cansina 2:59.67c6301-2
cantarell-fonts 1:0.303.1-1
cantoolz 1:425.82d330b-3
capfuzz 34.97ac312-5
capnproto 0.10.3-1
capstone 4.0.2-6
captipper 74.3fb2836-1
cardpwn 32.166abf9-3
carwhisperer 0.2-4
casefile 1.0.1-7
catana 31.9ea1f0d-1
catatonit 0.1.7-2
catnthecanary 7.e9184fe-2
catphish 44.768d213-10
cblas 3.11.0-2
ccrawldns 6.92525b6-1
cdparanoia 10.2-8
cdpsnarf 0.1.6-5
cdrtools 3.02a09-5
cecster 5.15544cb-4
centry 72.6de2868-3
cero v1.3.0.r17.gcf826d0-1
certgraph 172.465bddc-1
certipy 4.3.0.r0.gdcb873e-2
cewl 146.1c741bb-1
cfitsio 1:4.2.0-1
cflow 1.7-1
cfr 152-1
chainsaw v2.5.0.r1.gf8ef669-1
chameleon 27.a2f0cf1-4
chameleonmini 575.d946e0b-1
changeme 266.89f59d4-6
chankro 21.7b6e844-1
chaos-client 245.24dc2bf-1
chaosmap 1.3-5
chaosreader 0.94-5
chapcrack 17.ae2827f-5
cheat-sh 6-1
check-weak-dh-ssh 0.1-4
checkiban 0.2-3
checksec 2.6.0-1
chiasm-shell 33.e20ed9f-11
chipsec 4:1743.505170ae-1
chiron 48.524abe1-1
chisel 230.ce307e5-1
chkrootkit 0.55-1
chntpw 140201-4
chopshop 444.8bdd393-1
choronzon 4.d702c31-2
chownat 0.08b-6
chrome-decode 0.1-7
chromefreak 24.12745b1-4
chromensics 1.0-4
chromium 111.0.5563.146-1
chw00t 39.1fd1016-1
cidr2range 1.0-2
cifs-utils 7.0-3
cintruder 14.f8a3f12-1
cipherscan 419.c67f3ee-1
ciphertest 22.e33eb4a-1
ciphr 127.5da7137-11
cirt-fuzzer 1.0-4
cisco-auditing-tool 1-8
cisco-global-exploiter 1.3-5
cisco-ocs 0.2-5
cisco-router-config 1.1-4
cisco-scanner 0.2-1
cisco-snmp-enumeration 10.ad06f57-3
cisco-snmp-slap 5.daf0589-3
cisco-torch 0.4b-10
cisco5crack 2.c4b228c-2
cisco7crack 2.f1c21dd-2
ciscos 1.3-2
citadel 95.3b1adbc-1
cjexploiter 6.72b08d8-2
clair 1638.d726e157-1
clairvoyance 2.0.6-1
clamscanlogparser 1-1
clang 15.0.7-2
climber 30.5530a78-3
cloakify 117.f45c3b3-1
cloud-buster 194.b55e4a1-3
cloudfail 79.7982c7d-1
cloudflare-enum 10.412387f-2
cloudget 64.cba10b1-1
cloudlist 342.29bacea-1
cloudmare 100.ebd57b1-1
cloudsploit 3790.3d5f72d4-1
cloudunflare 14.b91a8a7-1
clusterd 143.d190b2c-3
cmake 3.26.2-1
cminer 25.d766f7e-1
cmospwd 5.1-1
cms-explorer 15.23b58cd-2
cms-few 0.1-3
cmseek 355.ce085fe-1
cmsfuzz 5.6be5a98-3
cmsmap 1:8.59dd0e2-7
cmsscan 43.f060b4b-2
cmsscanner 0.13.8.26.g12775a6-1
cnamulator 5.4667c68-3
cntlm 4.b35d55c-2
codec2 1:1.0.5-1
codeql 1:2.8.1-1
codetective 45.52b91f1-2
coercer 1.6-1
coffeescript 2.7.0-1
comission 203.67b890e-3
commentor 19.d81a660-1
commix 1957.8228d8f7-1
commonspeak 36.f0aad23-1
compiler-rt 15.0.7-1
complemento 0.7.6-4
compp 1.0.5-2
configpush 0.8.5-3
confuse 3.3-3
conmon 1:2.1.7-1
conn 1.0.39-1
conpot 0.6.0-6
conscan 1.2-3
containerd 1.7.0-1
containers-common 1:0.51.2-1
cook 238.8f8b958-1
cookie-cadger 1.08-2
cookiejar 0.0.3-3
coreutils 9.2-2
corkscrew 2.0-8
corscanner 99.593043f-2
corstest 10.beffd0b-4
corsy 69.2985ae2-2
cottontail 93.b7f5222-2
couchdb 3.2.2-5
cowpatty 4.8-3
cpfinder 0.1-4
cpio 2.13-3
cpp2il 1:2022.0.7.r11.gdc9dcd9-1
cppcheck 2.10-1
cpptest 2.0.0-1
cppunit 1.15.1-3
cr3dov3r 46.99a1660-4
crabstick 47.bb7827f-4
cracken v1.0.1.r0.g7a325ff-1
crackle 111.d83b4b6-1
cracklib 2.9.8-1
crackmapexec 2:v5.4.0.r30.gd2ea13f-1
crackq 48.89b7318-2
crackql 1.0.r51.ge96af25-1
crackserver 33.e5763ab-2
crawlic 51.739fe2b-2
creak 40.52b0d74-3
create_ap 265.462c09f-1
creddump 3.ed95e1a-1
credmap 116.d862247-1
creds 1:17.1ec8297-5
credsniper 21.f52461b-3
creepy 1:137.9f60449-3
cribdrag 5.2d27dbf-1
criu 3.17.1-1
crlf-injector 9.bd6db06-1
crlfuzz 62.7a442bb-1
crosslinked 1:19.786ad1c-1
crosstool-ng 1.25.0-2
crowbar 111.4b563dc-3
crozono 1:5.6a51669-4
crun 1.8.3-1
crunch 3.6-2
crypthook 18.690dcae-1
crypto++ 8.7.0-1
cryptohazemultiforcer 1.31a-2
cryptonark 0.5.7-1
cryptsetup 2.6.1-3
csrftester 1.0-4
ct-exposer 24.71252ac-1
ctags 1:6.0.0-1
ctf-party v2.3.0.r17.g8802d3e-1
ctunnel 0.7-1
ctypes-sh 153.6982e6c-2
cuckoo 2.0.7-8
cupp 77.56547fd-1
cups 1:2.4.2-6
cups-filters 1.28.17-2
curl 8.0.1-1
cutycapt 3:10-5
cve-api 170.8e9c247-3
cve-search v4.2.1.r23.g2120bb0-1
cvechecker 4.0-1
cybercrowl 111.f7cac52-2
cyberscan 75.ca85794-1
cymothoa 1-9
cython 0.29.33-1
cython2 0.29.32-1
d-tect 13.9555c25-1
dagon 244.f065d7b-2
dalfox 1251.a953704-1
damm 32.60e7ec7-1
daredevil 42.81cb57f-1
dark-dork-searcher 1.0-5
darkarmour 4.f10228a-2
darkbing 0.1-3
darkd0rk3r 1.0-6
darkdump 43.40abd92-2
darkhttpd 1.14-1
darkjumper 5.8-4
darkmysqli 1.6-3
darkscrape 68.2ca0e37-2
darkspiritz 1:6.4d23e94-3
darkstat 3.0.721-2
datajackproxy 42.f75f3a3-3
datasploit 1:367.a270d50-3
dav1d 1.1.0-1
davoset 1.3.7-3
davscan 30.701f967-2
davtest 3.a282c58-2
dawnscanner 1:v2.0.0.rc4.r0.gd6150be-3
db 6.2.32-1
db5.3 5.3.28-2
dbd 61.8cf5350-1
dbpwaudit 0.8-7
dbus 1.14.6-2
dbus-glib 0.112-2
dbus-python 1.2.18-4
dbusmap 16.6bb2831-2
dc3dd 7.2.646-1
dcdetector 0.0.1.r7.g7b859c5-1
dcfldd 1.7.1-1
dconf 0.40.0-2
dcrawl 7.3273c35-3
ddosify v0.15.1.r0.ga24fcf9-1
ddrescue 1.27-1
de4dot 3.1.41592-2
deathstar 59.f10fdbf-2
debinject 43.d884309-1
deblaze 1:1.0608dc3-2
debugedit 5.0-5
debuginfod 0.189-1
decodify 50.76a0801-3
deen 601.fd9aebe-1
deepce 108.934a991-1
default-cursors 2-1
delldrac 0.1a-2
delorean 16.0291151-1
demiguise 11.58d5681-1
densityscout 45-1
depant 0.3a-10
depdep 2.0-2
dependency-check 6.5.3-2
depix 38.f7d1850-1
desktop-file-utils 0.26-2
det 31.417cbce-4
detect-it-easy 1:3.02-1
detect-secrets v1.4.0.r4.g34f86b0-1
detect-sniffer 151.63f0d7f-2
detectem 276.bc5f073-4
devaudit 803.ca0a68e-1
device-mapper 2.03.20-1
device-pharmer 40.b06a460-3
dex2jar 2.1-2
dexpatcher 1.7.0-1
dfir-ntfs 1.1.13-1
dftimewolf 576.e8d5e392-1
dga-detection 78.0a3186e-3
dharma 98.6b1e511-2
dhcdrop 0.5-3
dhclient 4.4.3.P1-1
